arracher,,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/arracher/,,lsf-2 verbe verbe-loc
arriver,,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/arriver-1/,,lsf-1 verbe
arrière grand-mère,,,,,,lsf-1 famille
arrière grand-père,,,,,,lsf-1 famille
arroser,,,,,,lsf-2 
arrêter,"Appréhender, emprisonner, capturer.",[sound:arrêter.mp4],,https://signsuisse.sgb-fss.ch/fr/lexikon/g/arreter-2/,,lsf-2 verbe verbe-dir
arrêter (cesser),"Cesser d'agir, de faire quelque chose.",,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/arreter-1/,,lsf-1 verbe
artiste,,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/artiste/,,lsf-2 profession
Ascension,,,,,,lsf-1 activité événement
Asie,,,,,,lsf-2 
assiette,,,,,,lsf-2 outil
assurance maladie,,,,,,lsf-2 service
athée,,,religion + ne pas avoir,https://signsuisse.sgb-fss.ch/fr/lexikon/g/athee/,,lsf-2 
attendre,,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/attendre/,,lsf-1 verbe
attention!,,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/attention/,,lsf-2 formule
au total,,,,,,lsf-1 formule
aubergine,,,,,,lsf-2 
aujourd'hui,,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/aujourdhui/,,lsf-1 calendrier
aussi,,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/aussi/,,lsf-1 
Australie,,,,,,lsf-2 lieu pays
automne,,,,,,lsf-1 
autonome,,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/autonome/,,lsf-2 adjectif
autoroute,,,,,,lsf-2 
autre,,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/autre/,,lsf-1 pronom
Autriche,,,,,,lsf-1 lieu pays
autruche,,,,,,lsf-1 animal
avaler,,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/avaler/,,lsf-1 verbe
avant,,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/avant-1/,,lsf-1 préposition
avantage,,,aimer (plusieurs fois en petit),,,lsf-2 
avec,,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/avec/,,lsf-1 préposition
Avent,,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/avent/,,lsf-1 activité
aventure,,,,,,lsf-2 
aveugle,,,,,,lsf-1 adjectif
avoir,,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/avoir/,,lsf-1 verbe verbe-aff-nég
avoir besoin,,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/avoir-besoin/,,lsf-1 verbe verbe-aff-nég
avoir de la chance,,,,,,lsf-1 formule
avoir envie,,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/avoir-envie/,,lsf-1 verbe verbe-aff-nég
avoir faim,,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/faim/,,lsf-1 verbe
avoir mal,,,,,,lsf-1 médecine
avoir raison,,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/raison/,,lsf-1 formule verbe
avoir tort,,,(se signe comme «faux (pas juste) »),,,lsf-2 verbe
avril,,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/avril/,,lsf-1 calendrier
aéroport,,[sound:aéroport.mp4],,https://signsuisse.sgb-fss.ch/fr/lexikon/g/aeroport/,,lsf-2 lieu transport
aïe!,,,,,,lsf-1 interjection
bain,,,,,,lsf-2 
balcon,,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/balcon/,,lsf-2 bâtiment lieu
baleine,,,,,,lsf-1 animal
banane,,,,,,lsf-1 nature nourriture
bar,,,,,,lsf-1 lieu
