alors,,[sound:alors.mp4],,https://signsuisse.sgb-fss.ch/fr/lexikon/g/alors/,,lsf-1 adverbe
ambulance,,[sound:ambulance.mp4],,https://signsuisse.sgb-fss.ch/fr/lexikon/g/ambulance/,,lsf-2 
amende,Contravention.,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/amende/,,lsf-2 
ami-e,,[sound:ami-e.mp4],,,,lsf-1 
amoureux - amoureuse,,[sound:amoureux - amoureuse.mp4],,https://signsuisse.sgb-fss.ch/fr/lexikon/g/amoureux-amoureuse/,,lsf-1 adjectif sentiment
ananas,,[sound:ananas.mp4],,,,lsf-1 nature nourriture
Android,,[sound:Android.mp4],,https://signsuisse.sgb-fss.ch/fr/lexikon/g/android-1/,,lsf-1 technologie
ange,,[sound:ange.mp4],,https://signsuisse.sgb-fss.ch/fr/lexikon/g/ange/,https://dico.elix-lsf.fr/dictionnaire/ange/n.m.-130048,lsf-1 
anglais,,[sound:anglais.mp4],,https://signsuisse.sgb-fss.ch/fr/lexikon/g/anglais/,,lsf-1 langue
animal,Bête.,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/animal-bete/,,lsf-1 nature
anniversaire,,[sound:anniversaire.mp4],,https://signsuisse.sgb-fss.ch/fr/lexikon/g/anniversaire/,,lsf-1 
annoncer,,[sound:annoncer.mp4],"(en cours, Elix)",https://signsuisse.sgb-fss.ch/fr/lexikon/g/annoncer/,https://dico.elix-lsf.fr/dictionnaire/annoncer/v.-130331,lsf-2 verbe
annuler,,[sound:annuler.mp4],,https://signsuisse.sgb-fss.ch/fr/lexikon/g/annuler/,,lsf-2 verbe
année,,[sound:année.mp4],,,,lsf-1 
antenne,,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/antenne-1-1/,,lsf-2 technologie
août,,[sound:août.mp4],,https://signsuisse.sgb-fss.ch/fr/lexikon/g/aout/,,lsf-1 calendrier
apercevoir,,[sound:apercevoir.mp4],,https://signsuisse.sgb-fss.ch/fr/lexikon/g/apercevoir/,,lsf-1 verbe verbe-dir
appareil acoustique,,[sound:appareil acoustique.mp4],,https://signsuisse.sgb-fss.ch/fr/lexikon/g/appareil-acoustique/,,lsf-1 outil
appartement,,[sound:appartement.mp4],,https://signsuisse.sgb-fss.ch/fr/lexikon/g/appartement/,,lsf-1 
