phrase-07-5,"Le chien de ma grand mère est mort, il me manque beaucoup",chien + appartenir + grand mère + à moi … moi + manquer + le,,"Verbes ""inversés et directs”",verbe-inv-dir,07/05/2020
phrase-07-6,"Si le chien te manque, tu peux le rejoindre chez ma grand mère",si + chien + manquer + te … tu + pouvoir + réjoindre + chez + grand mère + à moi,,"Verbes ""inversés et directs”",verbe-inv-dir,07/05/2020
phrase-07-7,"Si tu m'énerves, je ne te preterai plus mon vélo",,,"Verbes ""inversés et directs”",verbe-inv-dir,07/05/2020
phrase-07-8,Tu m'énerves car tu changes toujours d'avoir,,,"Verbes ""inversés et directs”",verbe-inv-dir,07/05/2020
phrase-08-01,Je n'ai pas d'argent pour acheter des glaces,moi + pas + argent + ne pas pouvoir + acheter + glace,,“Pour”,,14/5/2020
phrase-08-02,J'ai acheté des fleurs pour ma grand-mère,moi + acheter + fleurs + pour + grand-mère + à moi,,“Pour”,,14/5/2020
phrase-08-03,J'ai trop de travail pour sortir ce soir,moi + trop + travail + ne pas pouvoir + sortir + ce soir,,“Pour”,,14/5/2020
phrase-08-04,J'ai raté mes examens pour devenir logopédiste,moi + rater + examen + ne pas pouvoir + devenir + logopédie,,“Pour”,,14/5/2020
phrase-08-05,Je l'ai invité au cinéma pour son anniversaire,moi + inviter (dir) + cinéma + pour + anniversaire + à lui,,“Pour”,,14/5/2020
phrase-08-06,Je suis partie pour une heure,moi + partir + revenir + 1 heure,,“Pour”,,14/5/2020
phrase-08-07,J'ai un secret pour toi,moi + secret + pour + toi,,“Pour”,,14/5/2020
phrase-08-08,Tu es trop jeune pour aller seul en ville,toi + trop + jeune + ne pas pouvoir + aller + seul + ville,,“Pour”,,14/5/2020
phrase-08-09,Tu as une amende pour excès de vitesse,toi + avoir + amende + à cause + vitesse + voiture,,“Pour”,,14/5/2020
phrase-08-10,Je suis obligée de crier pour que tu m'entendes,moi + obliger + crier + but + toi + entendre + me,,“Pour”,,14/5/2020
phrase-08-11,Je suis trop jeune pour prendre ma retraite,moi + trop + jeune + ne pas pouvoir + prendre + retraite,,“Pour”,,14/5/2020
