adjectif,,[sound:adjectif.mp4],,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/adjectif/,,lsf-4 
administration,,[sound:administration.mp4],,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/administration/,,lsf-2 
admirer,,[sound:admirer.mp4],,(variante GE),https://signsuisse.sgb-fss.ch/fr/lexikon/g/admirer/,,lsf-1 verbe
adolescent-e,,,"<img src=""adolescent-e.png"">",,https://signsuisse.sgb-fss.ch/fr/lexikon/g/adolescent-adolescente/,https://www.signbank.org/signpuddle2.0/searchword.php?ui=4&sgn=49&sid=191,lsf-4 
adorer,,[sound:adorer.mp4],,(variante « FR »),https://signsuisse.sgb-fss.ch/fr/lexikon/g/adorer/,,lsf-1 verbe
adresse,Indication de lieu.,[sound:adresse.mp4],,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/adresse-1/,,lsf-2 
adulte,Personne majeure,[sound:adulte.mp4],,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/adulte-1/,,
affaire,Objets ou effets personnels.,,"<img src=""affaire.png"">",,https://signsuisse.sgb-fss.ch/fr/lexikon/g/affaire/,,lsf-4 
affiche,,,"<img src=""affiche.png"">",,https://signsuisse.sgb-fss.ch/fr/lexikon/g/affiche/,,lsf-4 
Afrique,,[sound:Afrique.mp4],,"En cours, sur le front, plutôt comme sur Elix.",https://signsuisse.sgb-fss.ch/fr/lexikon/g/afrique/,https://dico.elix-lsf.fr/dictionnaire/Afrique/n.prop.-127377,lsf-2 lieu
agacer,,[sound:agacer.mp4],,,,,lsf-2 verbe verbe-inv-dir
agence,Entreprise commerciale servant d'intermédiaire.,[sound:agence.mp4],,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/agence/,,lsf-2 service
agité-e,,[sound:agité-e.mp4],,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/agite-agitee/,,lsf-2 adjectif
agneau,,[sound:agneau.mp4],,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/agneau/,,lsf-1 animal
agriculture,,,"<img src=""agriculture.png"">",,https://signsuisse.sgb-fss.ch/fr/lexikon/g/agriculture/,,lsf-4 
aider,,[sound:aider.mp4],,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/aider/,,lsf-2 verbe verbe-dir
aigle,,,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/aigle/,,lsf-2 animal
ailleurs,,[sound:ailleurs.mp4],,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/ailleurs/,,lsf-4 adverbe
aimer,,[sound:aimer.mp4],,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/aimer/,,lsf-1 verbe verbe-aff-nég
ajouter,,[sound:ajouter.mp4],,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/ajouter/,,lsf-2 verbe
alcool,,[sound:alcool.mp4],,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/alcool/,,lsf-3 
Algérie,,[sound:Algérie.mp4],,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/algerie/,,lsf-2 lieu
Aligro,,[sound:Aligro.mp4],,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/aligro/,,lsf-2 lieu
